index,Category Id,Category Name
0,73,Sporting Goods
48,17,Cleats
49,29,Shop By Sport
50,24,Women's Apparel
55,13,Electronics
56,12,Boxing & MMA
59,9,Cardio Equipment
61,41,Trade-In
62,37,Electronics
117,38,Kids' Golf Clubs
118,44,Hunting & Shooting
119,3,Baseball & Softball
138,18,Men's Footwear
143,43,Camping & Hiking
145,65,Consumer Electronics
146,62,Cameras 
152,64,Computers
174,4,Basketball
175,2,Soccer
191,26,Girls' Apparel
197,40,Accessories
234,76,Women's Clothing
243,66,Crafts
272,70,Men's Clothing
294,6,Tennis & Racquet
301,11,Fitness Accessories
316,16,As Seen on  TV!
360,36,Golf Balls
547,10,Strength Training
624,63,Children's Clothing
775,5,Lacrosse
886,60,Baby 
1358,45,Fishing
1360,59,Books 
1585,67,DVDs
1590,61,CDs 
2325,68,Garden
2569,7,Hockey
3205,72,Pet Supplies
3208,69,Health and Beauty
3737,71,Music
3923,75,Video Games
32151,35,Golf Gloves
50657,34,Golf Bags & Carts
50718,33,Golf Shoes
51242,32,Golf Apparel
51683,31,Women's Golf Clubs
51864,30,Men's Golf Clubs
52147,74,Toys
52676,48,Water Sports
77052,46,Indoor/Outdoor Games
